DailyTimeSpentOnSite,Age,AreaIncome,DailyInternetUsage,AdTopicLine,City,Male,Country,Timestamp,ClickedOnAd
76.24,40,75524.78,198.32,Managed impactful definition,Bakerhaven,1,Burkina Faso,2022-04-30T23:42:26Z,0
66.03,22,59422.47,217.37,Pre-emptive next generation strategy,Ashleymouth,0,American Samoa,2022-04-30T23:32:00Z,0
85.77,27,52261.73,191.78,Implemented disintermediate attitude,South Brian,1,Morocco,2022-04-30T23:26:42Z,0
76.79,27,55677.12,235.94,Open-architected intangible strategy,Wademouth,0,Canada,2022-04-30T23:21:53Z,0
70.13,31,70889.68,224.98,Profit-focused systemic support,Johnsonfort,0,Croatia,2022-04-30T23:21:06Z,0
74.61,38,71055.22,231.28,Networked impactful framework,East Christopher,1,South Africa,2022-04-30T23:10:40Z,0
84.76,30,61039.13,178.69,Monitored 24/7 moratorium,South Pamela,0,Venezuela,2022-04-30T23:08:14Z,0
79.36,34,57260.41,245.78,Profound maximized workforce,Hessstad,1,Bosnia and Herzegovina,2022-04-30T22:54:37Z,0
41.82,41,24852.9,156.36,Phased transitional instruction set,Brendachester,0,Iran,2022-04-30T22:49:47Z,1
41.73,47,60812.77,144.71,Proactive client-server productivity,Andersonchester,0,Cote d'Ivoire,2022-04-30T22:48:25Z,1
71.84,47,76003.47,199.79,Advanced exuding conglomeration,North Randy,1,Malawi,2022-04-30T22:47:18Z,0
79.8,28,57179.91,229.88,Customizable zero-defect Internet solution,West Michaelport,1,Bahamas,2022-04-30T22:40:55Z,0
43.65,39,63649.04,138.87,Business-focused background synergy,North Aaronburgh,0,Western Sahara,2022-04-30T22:24:27Z,1
81.58,25,39699.13,199.39,Decentralized needs-based analyzer,Erikville,0,Hong Kong,2022-04-30T22:02:17Z,0
45.53,29,56129.89,141.58,Front-line neutral alliance,North Destiny,0,United Arab Emirates,2022-04-30T22:01:21Z,1
53.44,42,42907.89,108.17,Up-sized next generation architecture,Lake Jennifer,1,Libyan Arab Jamahiriya,2022-04-30T22:00:15Z,1
67.35,29,47510.42,118.69,Sharable secondary Graphical User Interface,East Heidi,0,Zimbabwe,2022-04-30T21:58:25Z,1
33.52,43,42191.61,165.56,Vision-oriented optimizing middleware,Jessicahaven,0,Cambodia,2022-04-30T21:54:38Z,1
83.4,34,66691.23,207.87,Polarized multimedia system engine,West Daleborough,0,Azerbaijan,2022-04-30T21:54:23Z,0
79.52,24,51739.63,214.23,Synergistic fresh-thinking array,North Tara,0,Bosnia and Herzegovina,2022-04-30T21:49:22Z,0
81.95,31,64698.58,208.76,Distributed cohesive migration,East Connie,1,Serbia,2022-04-30T21:46:37Z,0
89.18,37,46403.18,224.01,Public-key impactful neural-net,Rickymouth,1,Nepal,2022-04-30T21:45:50Z,0
55.92,24,33951.63,145.08,Focused systemic benchmark,Taylorhaven,0,Fiji,2022-04-30T21:41:46Z,1
39.34,43,31215.88,148.93,Proactive radical support,Alvaradoport,0,Bangladesh,2022-04-30T21:39:11Z,1
85.62,29,57032.36,195.68,Triple-buffered systematic info-mediaries,South Dianeshire,0,Iran,2022-04-30T21:37:49Z,0
79.09,32,69481.85,209.72,Optimized multimedia website,Hernandezchester,1,Svalbard & Jan Mayen Islands,2022-04-30T21:32:51Z,0
59.12,33,28210.03,124.54,Synergistic stable infrastructure,Silvaton,0,Greece,2022-04-30T21:32:06Z,1
82.73,33,54541.56,238.99,Grass-roots impactful system engine,Cranemouth,1,Qatar,2022-04-30T21:31:24Z,0
70.41,27,66618.21,223.03,Centralized systematic knowledgebase,Benjaminchester,0,Dominica,2022-04-30T21:30:46Z,0
79.61,31,58342.63,235.97,Customizable value-added project,Luisfurt,0,Monaco,2022-04-30T21:23:13Z,0
